Start,End,Open,High,Low,Close,Volume,Market Cap
2024-09-03,2024-09-04,59105.91,59764,57544.01,57544.01,110839951228.43205,1157513796045.655
2024-09-02,2024-09-03,57333.38,59350.72,57297.96,59127.62,111999098228.25435,1149670462101.4739
2024-09-01,2024-09-02,58972.96,59038.16,57268.97,57341.08,99808533702.47038,1149971682521.6794
2024-08-31,2024-09-01,59115.46,59382.99,58800.05,58965.98,102719941863.68292,1166833451801.5227
2024-08-30,2024-08-31,59295.05,59763.02,57944,59158,106977637878.67247,1166363249388.6794
2024-08-29,2024-08-30,59076.95,61106.97,58821.98,59348.98,110310423675.44948,1178040523912.0732
2024-08-28,2024-08-29,59320.04,60162,57933.03,59034.65,125193171751.83275,1170041472108.021
2024-08-27,2024-08-28,62828.6,63189.69,58564.03,59503.05,109127583964.41115,1227021403141.0278
2024-08-26,2024-08-27,64347.03,64374.01,62866.04,62866.04,101203762857.35191,1256706917886.4844
2024-08-25,2024-08-26,64184.99,64837.15,63792.95,64279.03,94619490854.93729,1265316086913.1846
2024-08-24,2024-08-25,64090.69,64416.96,63625.97,64107.98,125881577994.09407,1264412172950.7073
2024-08-23,2024-08-24,60392.09,64851.37,60392.09,63979.97,109681143161.26573,1218888710712.563
2024-08-22,2024-08-23,61167.48,61379.44,59953.14,60386.02,109925654743.1324,1197426375299.5957
2024-08-21,2024-08-22,59114.41,61813.19,58907.09,61109.99,109456682134.21603,1180932346414.1184
2024-08-20,2024-08-21,59448,61315.96,58705.68,59056.01,103619917438.06621,1185948542857.0105
2024-08-19,2024-08-20,58320.02,59562.71,57928.86,59562.71,93178855472.10802,1157509291689.108
2024-08-18,2024-08-19,59479.04,60212.28,58525.95,58525.95,80655928562.98607,1177542188593.5122
2024-08-17,2024-08-18,58902.94,59669.97,58855.66,59420.03,88140111621.74216,1169880838222.3833
2024-08-16,2024-08-17,57523.11,59806.42,57168.52,58902.1,106395319154.49826,1153353002063.1533
2024-08-15,2024-08-16,58731.42,59808.54,56658.81,57600,103561753070.77351,1152323874600.446
2024-08-14,2024-08-15,60460.83,61459.95,58577.96,58730.93,100245718135.20906,1186804832893.1743
2024-08-13,2024-08-14,59455.98,61507.57,58526.98,60565.01,103696068413.57143,1178381779554.0872
2024-08-12,2024-08-13,58804.02,60469.67,57916.99,59342.02,100105883667.67247,1164230078281.8257
2024-08-11,2024-08-12,60958.03,61554.95,58439.57,58819.99,79394741807.11847,1192444538961.5435
2024-08-10,2024-08-11,60707.54,61178.66,60262.05,60875.98,95154408736.78746,1198423963883.9304
2024-08-09,2024-08-10,61642.59,61642.59,59699.99,60848.51,119380537562.54007,1198052371289.9583
2024-08-08,2024-08-09,55208.09,62442.19,54745.98,61837.93,115082738098.83275,1148277529608.9478
2024-08-07,2024-08-08,55931.96,57657.97,54669.95,55024.11,115542644837.35191,1111517429412.9827
2024-08-06,2024-08-07,54153.99,56949.51,54153.99,55982.04,180069767679.24042,1102277924946.6377
2024-08-05,2024-08-06,58282.02,58282.02,49435.77,54006,212195781011.71082,1054109105825.6097
2024-08-04,2024-08-05,60721.48,61077.99,57382,58074.85,92944193833.37979,1183777771669.8118
2024-08-03,2024-08-04,61551.85,62193.7,59959.55,60760.03,127508490963.48781,1209847165746.9583
2024-08-02,2024-08-03,65470.03,65526.01,61377.99,61487.05,126678255697.5784,1259657978581.77
2024-08-01,2024-08-02,64690.06,65535.99,62356.12,65409.83,115915313679.64111,1265476494606.2578
2024-07-31,2024-08-01,66095.88,66779.95,64565.99,64665.98,104724657195.78746,1300436793721.6445
2024-07-30,2024-07-31,66743.69,66988.03,65500.99,66244.03,114280185390.73868,1308166869764.3484
2024-07-29,2024-07-30,68190.01,69947.98,66694.08,66810.03,101383758813.21254,1351833884687.9895
2024-07-28,2024-07-29,67699.97,68270.69,67070.3,68234.91,115846507993.94774,1336333065159.3171
2024-07-27,2024-07-28,67865.97,69386.01,66800.05,68045.98,102398740886.43903,1345115962771.871
2024-07-26,2024-07-27,65828.01,68200.04,65828.01,67914.02,113089301630.39372,1325517976260.4705
2024-07-25,2024-07-26,65453.96,66042.03,63509.02,65750.02,111090252492.92683,1272973411029.4077
2024-07-24,2024-07-25,65989.99,67054,65249.96,65412.03,107162775416.82579,1302064513046.3972
2024-07-23,2024-07-24,67537.99,67693.99,65528.37,65914.55,115158262082.33449,1312242825607.23
